,FlightDate,Tail_Number,CRSDepTime,Flight_Number_Reporting_Airline,IATA_CODE_Reporting_Airline,DepTime,DepDelay,DepDelayMinutes,DepDel15,DepartureDelayGroups,TaxiOut,WheelsOff,WheelsOn,TaxiIn,CRSArrTime,ArrDelay,ArrDelayMinutes,ArrDel15,ArrivalDelayGroups,Cancelled,Diverted,CRSElapsedTime,ActualElapsedTime,AirTime,Distance,DistanceGroup,OriginAirportSeqID,DestAirportSeqID,DOT_ID_Reporting_Airline,ArrTime
,,,,,,,,,1755,1700-1759,,1104201,11042,30647,CLE,Cleveland,OH,39,Ohio,44,,,,,,,,,,
,,,,,,,,,1950,1900-1959,,1086803,10868,30868,CAE,Columbia,SC,45,South Carolina,37,,,,,,,,,,
,,,,,,,,,1550,1500-1559,,1104201,11042,30647,CLE,Cleveland,OH,39,Ohio,44,,,,,,,,,,
,,,,,,,,,2030,2000-2059,,1125903,11259,30194,DAL,Dallas,TX,48,Texas,74,,,,,,,,,,
,,,,,,,,,1025,1000-1059,,1125903,11259,30194,DAL,Dallas,TX,48,Texas,74,,,,,,,,,,
,,,,,,,,,1601,1600-1659,,1289203,12892,32575,LAX,Los Angeles,CA,6,California,91,,,,,,,,,,
,,,,,,,,,900,0900-0959,,1295301,12953,31703,LGA,New York,NY,36,New York,22,,,,,,,,,,
,,,,,,,,,1201,1200-1259,,1318402,13184,33184,MBS,Saginaw/Bay City/Midland,MI,26,Michigan,43,,,,,,,,,,
,,,,,,,,,1745,1700-1759,,1474703,14747,30559,SEA,Seattle,WA,53,Washington,93,,,,,,,,,,
,,,,,,,,,1545,1500-1559,,1226401,12264,30852,IAD,Washington,VA,51,Virginia,38,,,,,,,,,,
,,,,,,,,,1437,1400-1459,,1393002,13930,30977,ORD,Chicago,IL,17,Illinois,41,,,,,,,,,,
,,,,,,,,,600,0600-0659,,1039705,10397,30397,ATL,Atlanta,GA,13,Georgia,34,,,,,,,,,,
,,,,,,,,,1858,1800-1859,,1295407,12954,32575,LGB,Long Beach,CA,6,California,91,,,,,,,,,,
,,,,,,,,,1342,1300-1359,,1477101,14771,32457,SFO,San Francisco,CA,6,California,91,,,,,,,,,,
,,,,,,,,,1751,1700-1759,,1039705,10397,30397,ATL,Atlanta,GA,13,Georgia,34,,,,,,,,,,
,,,,,,,,,1204,1200-1259,,1072102,10721,30721,BOS,Boston,MA,25,Massachusetts,13,,,,,,,,,,
,,,,,,,,,1605,1600-1659,,1105703,11057,31057,CLT,Charlotte,NC,37,North Carolina,36,,,,,,,,,,
,,,,,,,,,910,0900-0959,,1080003,10800,32575,BUR,Burbank,CA,6,California,91,,,,,,,,,,
,,,,,,,,,920,0900-0959,,1501602,15016,31123,STL,St. Louis,MO,29,Missouri,64,,,,,,,,,,
,,,,,,,,,1910,1900-1959,,1326403,13264,33264,MFR,Medford,OR,41,Oregon,92,,,,,,,,,,
,,,,,,,,,1952,1900-1959,,1467902,14679,33570,SAN,San Diego,CA,6,California,91,,,,,,,,,,
,,,,,,,,,845,0800-0859,,1467903,14679,33570,SAN,San Diego,CA,6,California,91,,,,,,,,,,
,,,,,,,,,1755,1700-1759,,1410702,14107,30466,PHX,Phoenix,AZ,4,Arizona,81,,,,,,,,,,
,,,,,,,,,1730,1700-1759,,1082104,10821,30852,BWI,Baltimore,MD,24,Maryland,35,,,,,,,,,,
,,,,,,,,,1300,1300-1359,,1320401,13204,31454,MCO,Orlando,FL,12,Florida,33,,,,,,,,,,
,,,,,,,,,835,0800-0859,,1490803,14908,32575,SNA,Santa Ana,CA,6,California,91,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOT_ID_Reporting_Airline,Reporting_Airline,,,,,,OriginAirportSeqID,OriginAirportID,OriginCityMarketID,Origin,OriginCityName,OriginState,OriginStateFips,OriginStateName,OriginWac,,ArrTime,ArrTimeBlk,,,,,,,,,,,,
20437,FL,,,,,,1334202,13342,33342,MKE,Milwaukee,WI,55,Wisconsin,45,,1541,1500-1559,,,,,,,,,,,,
20398,MQ,,,,,,1192102,11921,31921,GJT,Grand Junction,CO,8,Colorado,82,,1942,1900-1959,,,,,,,,,,,,
19790,DL,,,,,,1289201,12892,32575,LAX,Los Angeles,CA,6,California,91,,2015,2000-2059,,,,,,,,,,,,
20355,US,,,,,,1161801,11618,31703,EWR,Newark,NJ,34,New Jersey,21,,2058,2000-2059,,,,,,,,,,,,
19704,CO,,,,,,1072101,10721,30721,BOS,Boston,MA,25,Massachusetts,13,,2002,2000-2059,,,,,,,,,,,,
20363,9E,,,,,,1039707,10397,30397,ATL,Atlanta,GA,13,Georgia,34,,31,2000-2059,,,,,,,,,,,,
20378,YV,,,,,,1393001,13930,30977,ORD,Chicago,IL,17,Illinois,41,,1820,1800-1859,,,,,,,,,,,,
19393,WN,,,,,,1323202,13232,30977,MDW,Chicago,IL,17,Illinois,41,,2319,2200-2259,,,,,,,,,,,,
19393,WN,,,,,,1154003,11540,30615,ELP,El Paso,TX,48,Texas,74,,1255,1300-1359,,,,,,,,,,,,
20304,OO,,,,,,1014002,10140,30140,ABQ,Albuquerque,NM,35,New Mexico,86,,1646,1700-1759,,,,,,,,,,,,
19977,UA,,,,,,1393001,13930,30977,ORD,Chicago,IL,17,Illinois,41,,1150,1200-1259,,,,,,,,,,,,
19386,NW,,,,,,1143301,11433,31295,DTW,Detroit,MI,26,Michigan,43,,1239,1200-1259,,,,,,,,,,,,
19930,AS,,,,,,1486903,14869,34614,SLC,Salt Lake City,UT,49,Utah,87,,1832,1800-1859,,,,,,,,,,,,
19977,UA,,,,,,1289201,12892,32575,LAX,Los Angeles,CA,6,California,91,,2313,2300-2359,,,,,,,,,,,,
19977,UA,,,,,,1349503,13495,33495,MSY,New Orleans,LA,22,Louisiana,72,,1652,1700-1759,,,,,,,,,,,,
20366,EV,,,,,,1478302,14783,34783,SGF,Springfield,MO,29,Missouri,64,,844,0800-0859,,,,,,,,,,,,
20378,YV,,,,,,1410702,14107,30466,PHX,Phoenix,AZ,4,Arizona,81,,2105,2000-2059,,,,,,,,,,,,
20304,OO,,,,,,1080002,10800,32575,BUR,Burbank,CA,6,California,91,,1510,1400-1459,,,,,,,,,,,,
